player_id,year,stint,team_id,league_id,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp,obp,slg,ops
alomaro01,1990,1,SDN,NL,147,586,80,168,27,5,6,60,24,7,48,72,1,2,5,5,16,0.34,0.381,0.721
alomasa02,1990,1,CLE,AL,132,445,60,129,26,2,9,66,4,1,25,46,2,2,5,6,10,0.326,0.418,0.744
anderbr01,1990,1,BAL,AL,89,234,24,54,5,2,3,24,15,2,31,46,2,5,4,5,4,0.327,0.308,0.635
anthoer01,1990,1,HOU,NL,84,239,26,46,8,0,10,29,5,0,29,78,3,2,1,6,4,0.279,0.351,0.63
azocaos01,1990,1,NYA,AL,65,214,18,53,8,0,5,19,7,0,2,15,0,1,0,1,1,0.257,0.355,0.612
backmwa01,1990,1,PIT,NL,104,315,62,92,21,3,2,28,6,3,42,53,1,1,0,3,5,0.374,0.397,0.771
baergca01,1990,1,CLE,AL,108,312,46,81,17,2,7,47,0,2,16,57,2,4,1,5,4,0.3,0.394,0.694
baineha01,1990,1,TEX,AL,103,321,41,93,10,1,13,44,0,1,47,63,9,0,0,3,13,0.377,0.449,0.826
balbost01,1990,1,NYA,AL,116,266,24,51,6,0,17,34,0,0,35,91,2,3,1,2,4,0.291,0.406,0.697
barfije01,1990,1,NYA,AL,153,476,69,117,21,2,25,78,4,3,82,150,4,5,2,5,6,0.359,0.456,0.815
basske01,1990,1,SFN,NL,61,214,25,54,9,1,7,32,2,2,14,26,3,2,2,1,5,0.303,0.402,0.705
bellge02,1990,1,TOR,AL,142,562,67,149,25,0,21,86,3,2,32,80,7,3,0,11,14,0.303,0.422,0.724
bellja01,1990,1,PIT,NL,159,583,93,148,28,7,7,52,10,6,65,109,0,3,39,6,14,0.329,0.362,0.691
benzito01,1990,1,CIN,NL,118,376,35,95,14,2,5,46,3,4,19,69,4,4,2,7,3,0.291,0.34,0.631
bergmda01,1990,1,DET,AL,100,205,21,57,10,1,2,26,3,2,33,17,3,0,1,2,7,0.375,0.366,0.741
bicheda01,1990,1,CAL,AL,109,349,40,89,15,1,15,53,5,2,16,79,1,3,1,2,9,0.292,0.433,0.725
biggicr01,1990,1,HOU,NL,150,555,53,153,24,2,4,42,25,11,53,79,1,3,9,1,11,0.342,0.348,0.689
blausje01,1990,1,ATL,NL,115,386,46,104,24,3,8,39,3,5,35,70,1,5,3,0,4,0.338,0.409,0.747
boggswa01,1990,1,BOS,AL,155,619,89,187,44,5,6,63,0,0,87,68,19,1,0,6,14,0.386,0.418,0.804
bondsba01,1990,1,PIT,NL,151,519,104,156,32,3,33,114,52,13,93,83,15,3,0,6,8,0.406,0.565,0.97
bonilbo01,1990,1,PIT,NL,160,625,112,175,39,7,32,120,4,3,45,103,9,1,0,15,11,0.322,0.518,0.841
bordepa01,1990,1,TOR,AL,125,346,36,99,24,2,15,49,0,1,18,57,2,0,1,3,17,0.319,0.497,0.816
bostoda01,1990,2,NYN,NL,115,366,65,100,21,2,12,45,18,7,28,50,2,2,0,0,7,0.328,0.44,0.768
bradlph01,1990,1,BAL,AL,72,289,39,78,9,1,4,26,10,4,30,35,2,7,6,1,9,0.352,0.349,0.701
bradlsc01,1990,1,SEA,AL,101,233,11,52,9,0,1,28,0,1,15,20,2,0,3,6,6,0.264,0.275,0.538
bragggl01,1990,2,CIN,NL,72,201,22,60,9,1,6,28,3,4,26,43,1,3,0,1,3,0.385,0.443,0.828
breamsi01,1990,1,PIT,NL,147,389,39,105,23,2,15,67,8,4,48,65,5,2,4,5,6,0.349,0.455,0.804
brettge01,1990,1,KCA,AL,142,544,82,179,45,7,14,87,9,2,56,63,14,0,0,7,18,0.387,0.515,0.902
brilegr01,1990,1,SEA,AL,125,337,40,83,18,2,5,29,16,4,37,48,0,1,1,4,6,0.319,0.356,0.675
brockgr01,1990,1,ML4,AL,123,367,42,91,23,0,7,50,4,2,43,45,9,2,2,8,6,0.324,0.368,0.692
brookhu01,1990,1,LAN,NL,153,568,74,151,28,1,20,91,2,5,33,108,10,6,0,11,13,0.307,0.424,0.732
brownje01,1990,1,CLE,AL,140,513,92,137,26,5,6,50,12,7,72,46,1,2,12,11,12,0.353,0.372,0.725
brunato01,1990,2,BOS,AL,129,461,61,123,24,5,15,71,5,10,54,105,7,3,0,8,12,0.342,0.438,0.78
buechst01,1990,1,TEX,AL,91,251,30,54,10,0,7,30,1,0,27,63,1,2,7,2,5,0.294,0.339,0.633
burksel01,1990,1,BOS,AL,152,588,89,174,33,8,21,89,9,11,48,82,4,1,2,2,18,0.349,0.486,0.835
butlebr01,1990,1,SFN,NL,160,622,108,192,20,9,3,44,51,19,90,62,1,6,7,7,3,0.397,0.384,0.781
caldeiv01,1990,1,CHA,AL,158,607,85,166,44,2,14,74,32,16,51,79,7,1,0,8,26,0.327,0.422,0.749
caminke01,1990,1,HOU,NL,153,541,52,131,20,2,4,51,9,4,48,97,7,0,3,4,15,0.302,0.309,0.611
candaca01,1990,1,HOU,NL,130,262,30,75,8,6,3,22,7,5,31,42,5,1,4,0,4,0.364,0.397,0.761
cansejo01,1990,1,OAK,AL,131,481,83,132,14,2,37,101,19,10,72,158,8,5,0,5,9,0.371,0.543,0.914
cartega01,1990,1,SFN,NL,92,244,24,62,10,0,9,27,1,1,25,31,3,1,0,2,2,0.324,0.406,0.729
cartejo01,1990,1,SDN,NL,162,634,79,147,27,1,24,115,22,6,48,93,18,7,0,8,12,0.29,0.391,0.681
clarkja01,1990,1,SDN,NL,115,334,59,89,12,1,25,62,4,3,104,91,11,2,0,2,12,0.441,0.533,0.974
clarkwi02,1990,1,SFN,NL,154,600,91,177,25,5,19,95,8,2,62,97,9,3,0,13,7,0.357,0.448,0.805
coleal01,1990,1,CLE,AL,63,227,43,68,5,4,0,13,40,9,28,38,0,1,0,0,2,0.379,0.357,0.736
colemvi01,1990,1,SLN,NL,124,497,73,145,18,9,6,39,77,17,35,88,1,2,4,1,6,0.34,0.4,0.741
cottohe01,1990,1,SEA,AL,127,355,40,92,14,3,4,33,21,3,22,52,2,4,6,3,13,0.307,0.349,0.657
danieka01,1990,1,LAN,NL,130,450,81,133,23,1,27,94,4,3,68,104,1,3,2,3,9,0.389,0.531,0.92
dascedo01,1990,1,CHN,NL,113,241,27,61,9,5,1,26,15,6,21,18,2,1,5,3,3,0.312,0.344,0.656
daughja01,1990,1,TEX,AL,125,310,36,93,20,2,6,47,0,0,22,49,0,2,2,3,4,0.347,0.435,0.783
daultda01,1990,1,PHI,NL,143,459,62,123,30,1,12,57,7,1,72,72,9,2,3,4,6,0.367,0.416,0.783
davisal01,1990,1,SEA,AL,140,494,63,140,21,0,17,68,0,2,85,68,10,4,0,9,9,0.387,0.429,0.816
davisch01,1990,1,CAL,AL,113,412,58,109,17,1,12,58,1,2,61,89,4,0,0,3,14,0.357,0.398,0.755
daviser01,1990,1,CIN,NL,127,453,84,118,26,2,24,86,21,3,60,100,6,2,0,3,7,0.347,0.486,0.833
davisgl01,1990,1,HOU,NL,93,327,44,82,15,4,22,64,8,3,46,54,17,8,0,0,5,0.357,0.523,0.88
dawsoan01,1990,1,CHN,NL,147,529,72,164,28,5,27,100,16,2,42,65,21,2,0,8,12,0.358,0.535,0.893
deerro01,1990,1,ML4,AL,134,440,57,92,15,1,27,69,2,3,64,147,6,4,0,3,0,0.313,0.432,0.745
deshide01,1990,1,MON,NL,129,499,69,144,28,6,4,45,42,22,66,96,3,4,1,2,10,0.375,0.393,0.768
devermi01,1990,1,BAL,AL,108,367,48,88,18,1,12,49,13,12,28,48,0,0,4,4,10,0.291,0.392,0.683
diazed01,1990,1,ML4,AL,86,218,27,59,2,2,0,14,3,2,21,32,0,1,5,0,3,0.338,0.298,0.636
doranbi02,1990,1,HOU,NL,109,344,49,99,21,2,6,32,18,9,71,53,1,0,1,5,2,0.405,0.413,0.818
downibr01,1990,1,CAL,AL,96,330,47,90,18,2,14,51,0,0,50,45,2,6,0,4,11,0.374,0.467,0.841
duncama01,1990,1,CIN,NL,125,435,67,133,22,11,10,55,13,7,24,67,4,4,4,4,10,0.345,0.476,0.821
dunstsh01,1990,1,CHN,NL,146,545,73,143,22,8,17,66,25,5,15,87,1,3,4,6,9,0.283,0.426,0.709
dykstle01,1990,1,PHI,NL,149,590,106,192,35,3,9,60,33,5,89,48,14,7,2,3,5,0.418,0.441,0.859
eisenji01,1990,1,KCA,AL,142,496,61,139,29,7,5,51,12,14,42,51,2,1,2,4,7,0.335,0.397,0.732
elsteke01,1990,1,NYN,NL,92,314,36,65,20,1,9,45,2,0,30,54,2,1,1,6,4,0.274,0.363,0.637
espinal01,1990,1,NYA,AL,150,438,31,98,12,2,2,20,1,2,16,54,0,5,11,2,13,0.258,0.274,0.532
evansdw01,1990,1,BOS,AL,123,445,66,111,18,3,13,63,3,4,67,73,5,4,0,6,18,0.349,0.391,0.74
feldemi01,1990,1,ML4,AL,121,237,38,65,7,2,3,27,20,9,22,17,0,0,8,5,0,0.33,0.359,0.688
felixju01,1990,1,TOR,AL,127,463,73,122,23,7,15,65,13,8,45,99,0,2,2,5,4,0.328,0.441,0.769
fermife01,1990,1,CLE,AL,148,414,47,106,13,2,1,40,3,3,26,22,0,0,13,5,13,0.297,0.304,0.601
fernato01,1990,1,TOR,AL,161,635,84,175,27,17,4,66,26,13,71,70,4,7,2,6,17,0.352,0.391,0.742
fieldce01,1990,1,DET,AL,159,573,104,159,25,1,51,132,0,1,90,182,11,5,0,5,15,0.377,0.592,0.969
finlest01,1990,1,BAL,AL,142,464,46,119,16,4,3,37,22,9,32,53,3,2,10,5,8,0.304,0.328,0.632
fiskca01,1990,1,CHA,AL,137,452,65,129,21,0,18,65,7,2,61,73,8,7,0,1,12,0.378,0.451,0.829
fitzgmi02,1990,1,MON,NL,111,313,36,76,18,1,9,41,8,1,60,60,2,2,5,3,5,0.365,0.393,0.758
fletcsc01,1990,1,CHA,AL,151,509,54,123,18,3,4,56,1,3,45,63,3,3,11,5,10,0.304,0.312,0.617
francju01,1990,1,TEX,AL,157,582,96,172,27,1,11,69,31,10,82,83,3,2,2,2,12,0.383,0.402,0.785
frymatr01,1990,1,DET,AL,66,232,32,69,11,1,9,27,3,3,17,51,0,1,1,0,3,0.348,0.47,0.818
gaettga01,1990,1,MIN,AL,154,577,61,132,27,5,16,85,6,1,36,101,1,3,1,8,22,0.274,0.376,0.65
gagnegr01,1990,1,MIN,AL,138,388,38,91,22,3,7,38,8,8,24,76,0,1,8,2,5,0.28,0.361,0.64
galaran01,1990,1,MON,NL,155,579,65,148,29,0,20,87,10,1,40,169,8,4,0,5,14,0.306,0.409,0.715
gallemi01,1990,1,OAK,AL,140,389,36,80,13,2,3,34,5,5,35,50,0,4,17,2,13,0.277,0.272,0.549
gantnji01,1990,1,ML4,AL,88,323,36,85,8,5,0,25,18,3,29,19,0,2,4,0,10,0.328,0.319,0.647
gantro01,1990,1,ATL,NL,152,575,107,174,34,3,32,84,33,16,50,86,0,1,1,4,8,0.357,0.539,0.896
gerenbo01,1990,1,NYA,AL,110,277,21,59,7,0,8,31,0,0,13,73,1,5,6,2,7,0.259,0.325,0.584
gibsoki01,1990,1,LAN,NL,89,315,59,82,20,0,8,38,26,2,39,65,0,3,0,2,4,0.345,0.4,0.745
girarjo01,1990,1,CHN,NL,133,419,36,113,24,2,1,38,8,3,17,50,11,3,4,4,13,0.3,0.344,0.644
gladdda01,1990,1,MIN,AL,136,534,64,147,27,6,5,40,25,9,26,67,2,6,1,4,17,0.314,0.376,0.69
gracema01,1990,1,CHN,NL,157,589,72,182,32,1,9,82,15,6,59,54,5,5,1,8,10,0.372,0.413,0.785
greenmi01,1990,1,BOS,AL,159,610,71,181,30,6,14,73,8,7,65,43,12,4,0,3,19,0.367,0.434,0.801
greggto01,1990,1,ATL,NL,124,239,18,63,13,1,5,32,4,3,20,39,4,1,0,1,1,0.322,0.389,0.711
griffal01,1990,1,LAN,NL,141,461,38,97,11,3,1,35,6,3,29,65,11,2,6,4,5,0.258,0.254,0.512
griffke02,1990,1,SEA,AL,155,597,91,179,28,7,22,80,16,11,63,81,12,2,0,4,12,0.366,0.481,0.847
grissma02,1990,1,MON,NL,98,288,42,74,14,2,3,29,22,2,27,40,2,0,4,1,3,0.32,0.351,0.67
grubeke01,1990,1,TOR,AL,150,592,92,162,36,6,31,118,14,2,48,94,2,8,1,13,14,0.33,0.512,0.842
guerrpe01,1990,1,SLN,NL,136,498,42,140,31,1,13,80,1,1,44,70,14,1,0,11,14,0.334,0.426,0.76
guilloz01,1990,1,CHA,AL,160,516,61,144,21,4,1,58,13,17,26,37,8,1,15,5,6,0.312,0.341,0.653
gwynnto01,1990,1,SDN,NL,141,573,79,177,29,10,4,72,17,8,44,23,20,1,7,4,13,0.357,0.415,0.772
