college_id,name_full
abilchrist,Abilene Christian University
adelphi,Adelphi University
adrianmi,Adrian College
akron,University of Akron
alabama,University of Alabama
alabamaam,Alabama A&M University
alabamast,Alabama State University
albanyst,Albany State University
albertsnid,Albertson College
albevil,Bevill State Community College
albionmi,Albion College
albrightpa,Albright College
alcalho,Calhoun Community College
alchatt,Chattahoochee Valley Community College
alcornst,Alcorn State University
alenter,Enterprise-Ozark Community College
alfaulk,Faulkner University
alfscco,Faulkner State College
algadsd,Gadsden State Community College
aljeffd,Jefferson Davis Community College
allegheny,Allegheny College
allurle,Lurleen B Wallace Community College
almami,Alma College
almario,Marion Military Institute
almiles,Miles College
alnorth,Northwest-Shoals Community College
alsuscc,Southern Union State Community College
alverniapa,Alvernia College
alwsdot,Wallace State Community College (Dothan)
alwshan,Wallace State Community College (Hanceville)
american,American University
amerintl,American International University
amherstma,Amherst College
andersonsc,Anderson College
appalst,Appalachian State University
aquinasmi,Aquinas College
arftsmi,University of Arkansas-Fort Smith
arizona,University of Arizona
arizonast,Arizona State University
arkansas,University of Arkansas
arkansaslr,University of Arkansas at Little Rock
arkansaspb,University of Arkansas at Pine Bluff
arkansasst,Arkansas State University
arkmont,University of Arkansas at Monticello
arktech,Arkansas Tech University
armstratl,Armstrong Atlantic State University
army,United States Military Academy
arnorth,North Arkansas College
ashland,Ashland University
athensst,Athens State University
auburn,Auburn University
auburnmont,Auburn University at Montgomery
augsburgmn,Augsburg College
austincol,Austin College
austinpeay,Austin Peay State University
azcentr,Central Arizona College
azchand,Chandler-Gilbert Community College
azcochi,Cochise Community College
azmescc,Mesa Community College
azphoen,Phoenix College
azpimcc,Pima Community College
azscott,Scottsdale Community College
azsouth,South Mountain Community College
azusapac,Azusa Pacific University
azweste,Arizona Western College
azyavap,Yavapai College
baconeok,Bacone College
bakerks,Baker University
baldwalloh,Baldwin-Wallace College
ballst,Ball State University
bartonnc,Barton College
baruchcuny,Bernard M Baruch College
batesme,Bates College
baylor,Baylor University
belmont,Belmont University
belmontab,Belmont Abbey College
beloitwi,Beloit College
benedctnks,Benedictine College
bethanywv,Bethany College
bethcook,Bethune-Cookman College
betheltn,Bethel College
biolaca,Biola University
birmsouth,Birmingham-Southern College
blackbrnil,Blackburn College
bloomsburg,Bloomsburg University of Pennsylvania
bluefield,Bluefield College
boisest,Boise State University
bostoncoll,Boston College
bostonuniv,Boston University
bowdoinme,Bowdoin College
bowlgreen,Bowling Green State University
bradley,Bradley University
brandeisma,Brandeis University
brdgwatrva,Bridgewater College
brewparker,Brewton-Parker College
bridgeport,University of Bridgeport
bridgwtrst,Bridgewater State College
brklyncuny,"Brooklyn College, The City University of New York"
brown,Brown University
