year,league_id,team_id,park_id
1990,NL,ATL,ATL01
1990,AL,BAL,BAL11
1990,AL,BOS,BOS07
1990,AL,CAL,ANA01
1990,AL,CHA,CHI10
1990,NL,CHN,CHI11
1990,NL,CIN,CIN08
1990,AL,CLE,CLE07
1990,AL,DET,DET04
1990,NL,HOU,HOU02
1990,AL,KCA,KAN06
1990,NL,LAN,LOS03
1990,AL,ML4,MIL05
1990,AL,MIN,MIN03
1990,NL,MON,MON02
1990,AL,NYA,NYC16
1990,NL,NYN,NYC17
1990,AL,OAK,OAK01
1990,NL,PHI,PHI12
1990,NL,PIT,PIT07
1990,NL,SDN,SAN01
1990,AL,SEA,SEA02
1990,NL,SFN,SFO02
1990,NL,SLN,STL09
1990,AL,TEX,ARL01
1990,AL,TOR,TOR02
1991,NL,ATL,ATL01
1991,AL,BAL,BAL11
1991,AL,BOS,BOS07
1991,AL,CAL,ANA01
1991,AL,CHA,CHI12
1991,NL,CHN,CHI11
1991,NL,CIN,CIN08
1991,AL,CLE,CLE07
1991,AL,DET,DET04
1991,NL,HOU,HOU02
1991,AL,KCA,KAN06
1991,NL,LAN,LOS03
1991,AL,ML4,MIL05
1991,AL,MIN,MIN03
1991,NL,MON,MON02
1991,AL,NYA,NYC16
1991,NL,NYN,NYC17
1991,AL,OAK,OAK01
1991,NL,PHI,PHI12
1991,NL,PIT,PIT07
1991,NL,SDN,SAN01
1991,AL,SEA,SEA02
1991,NL,SFN,SFO02
1991,NL,SLN,STL09
1991,AL,TEX,ARL01
1991,AL,TOR,TOR02
1992,NL,ATL,ATL01
1992,AL,BAL,BAL12
1992,AL,BOS,BOS07
1992,AL,CAL,ANA01
1992,AL,CHA,CHI12
1992,NL,CHN,CHI11
1992,NL,CIN,CIN08
1992,AL,CLE,CLE07
1992,AL,DET,DET04
1992,NL,HOU,HOU02
1992,AL,KCA,KAN06
1992,NL,LAN,LOS03
1992,AL,ML4,MIL05
1992,AL,MIN,MIN03
1992,NL,MON,MON02
1992,AL,NYA,NYC16
1992,NL,NYN,NYC17
1992,AL,OAK,OAK01
1992,NL,PHI,PHI12
1992,NL,PIT,PIT07
1992,NL,SDN,SAN01
1992,AL,SEA,SEA02
1992,NL,SFN,SFO02
1992,NL,SLN,STL09
1992,AL,TEX,ARL01
1992,AL,TOR,TOR02
1993,NL,ATL,ATL01
1993,AL,BAL,BAL12
1993,AL,BOS,BOS07
1993,AL,CAL,ANA01
1993,AL,CHA,CHI12
1993,NL,CHN,CHI11
1993,NL,CIN,CIN08
1993,AL,CLE,CLE07
1993,NL,COL,DEN01
1993,AL,DET,DET04
1993,NL,FLO,MIA01
1993,NL,HOU,HOU02
1993,AL,KCA,KAN06
1993,NL,LAN,LOS03
1993,AL,ML4,MIL05
1993,AL,MIN,MIN03
1993,NL,MON,MON02
1993,AL,NYA,NYC16
1993,NL,NYN,NYC17
1993,AL,OAK,OAK01
1993,NL,PHI,PHI12
1993,NL,PIT,PIT07
1993,NL,SDN,SAN01
1993,AL,SEA,SEA02
1993,NL,SFN,SFO02
1993,NL,SLN,STL09
1993,AL,TEX,ARL01
1993,AL,TOR,TOR02
1994,NL,ATL,ATL01
1994,AL,BAL,BAL12
1994,AL,BOS,BOS07
1994,AL,CAL,ANA01
1994,AL,CHA,CHI12
1994,NL,CHN,CHI11
1994,NL,CIN,CIN08
1994,AL,CLE,CLE08
1994,NL,COL,DEN01
1994,AL,DET,DET04
1994,NL,FLO,MIA01
1994,NL,HOU,HOU02
1994,AL,KCA,KAN06
1994,NL,LAN,LOS03
1994,AL,ML4,MIL05
1994,AL,MIN,MIN03
1994,NL,MON,MON02
1994,AL,NYA,NYC16
1994,NL,NYN,NYC17
1994,AL,OAK,OAK01
1994,NL,PHI,PHI12
1994,NL,PIT,PIT07
1994,NL,SDN,SAN01
1994,AL,SEA,SEA02
1994,NL,SFN,SFO02
1994,NL,SLN,STL09
1994,AL,TEX,ARL02
1994,AL,TOR,TOR02
1995,NL,ATL,ATL01
1995,AL,BAL,BAL12
1995,AL,BOS,BOS07
1995,AL,CAL,ANA01
1995,AL,CHA,CHI12
1995,NL,CHN,CHI11
1995,NL,CIN,CIN08
1995,AL,CLE,CLE08
1995,NL,COL,DEN02
