park_id,park_name
ALB01,Riverside Park
ALT01,Columbia Park
ANA01,Angel Stadium of Anaheim
ARL01,Arlington Stadium
ARL02,Rangers Ballpark in Arlington
ATL01,Atlanta-Fulton County Stadium
ATL02,Turner Field
BAL01,Madison Avenue Grounds
BAL02,Newington Park
BAL03,Oriole Park I
BAL04,Belair Lot
BAL05,Monumental Park
BAL06,Oriole Park II
BAL07,Oriole Park III
BAL09,Oriole Park IV
BAL10,Terrapin Park
BAL11,Memorial Stadium
BAL12,Oriole Park at Camden Yards
BOS01,South End Grounds I
BOS02,Dartmouth Grounds
BOS03,South End Grounds II
BOS04,Congress Street Grounds
BOS05,South End Grounds III
BOS06,Huntington Avenue Baseball Grounds
BOS07,Fenway Park
BOS08,Braves Field
BUF01,Riverside Grounds
BUF02,Olympic Park I
BUF03,Olympic Park II
BUF04,International Fair Association Grounds
CAN01,Mahaffey Park
CAN02,Pastime Park
CHI01,Lake Front Park I
CHI02,23rd Street Park
CHI03,Lake Front Park II
CHI04,Lake Front Park III
CHI05,South Side Park I
CHI06,West Side Park
CHI07,South Side Park II
CHI08,West Side Grounds
CHI09,South Side Park III
CHI10,Comiskey Park I
CHI11,Wrigley Field
CHI12,U.S. Cellular Field
CIN01,Lincoln Park Grounds
CIN02,Avenue Grounds
CIN03,Bank Street Grounds
CIN04,League Park I
CIN05,League Park II
CIN06,Palace of the Fans
CIN07,Crosley Field
CIN08,Cinergy Field
CIN09,Great American Ballpark
CLE01,National Association Grounds
CLE02,League Park I
CLE03,League Park II
CLE04,Brotherhood Park
CLE05,League Park III
CLE06,League Park IV
CLE07,Cleveland Stadium
CLE08,Progressive Field
CLE09,Cedar Avenue Driving Park
CLL01,Euclid Beach Park
COL01,Recreation Park I
COL02,Recreation Park II
COL03,Neil Park I
COL04,Neil Park II
COV01,Star Baseball Park
DAY01,Fairview Park
DEN01,Mile High Stadium
DEN02,Coors Field
DET01,Recreation Park
DET02,Bennett Park
DET03,Burns Park
DET04,Tiger Stadium
DET05,Comerica Park
DOV01,Fairview Park Fair Grounds
ELM01,Maple Avenue Driving Park
FOR01,Grand Duchess
FOR02,Swinney Park
FOR03,Jailhouse Flats
GEA01,Geauga Lake Grounds
GLO01,Gloucester Point Grounds
GRA01,Ramona Park
