player_id,birth_year,name_first,name_last
aardsda01,1981,David,Aardsma
aaronha01,1934,Hank,Aaron
aaronto01,1939,Tommie,Aaron
aasedo01,1954,Don,Aase
abadan01,1972,Andy,Abad
abadfe01,1985,Fernando,Abad
abadijo01,1854,John,Abadie
abbated01,1877,Ed,Abbaticchio
abbeybe01,1869,Bert,Abbey
abbeych01,1866,Charlie,Abbey
abbotda01,1862,Dan,Abbott
abbotfr01,1874,Fred,Abbott
abbotgl01,1951,Glenn,Abbott
abbotje01,1972,Jeff,Abbott
abbotji01,1967,Jim,Abbott
abbotku01,1969,Kurt,Abbott
abbotky01,1968,Kyle,Abbott
abbotod01,1888,Ody,Abbott
abbotpa01,1967,Paul,Abbott
aberal01,1927,Al,Aber
abercda01,1850,Frank,Abercrombie
abercre01,1980,Reggie,Abercrombie
abernbi01,1929,Bill,Abernathie
abernbr01,1977,Brent,Abernathy
abernte01,1921,Ted,Abernathy
abernte02,1933,Ted,Abernathy
abernwo01,1915,Woody,Abernathy
aberscl01,1921,Cliff,Aberson
ablesha01,1883,Harry,Ables
abnersh01,1966,Shawn,Abner
abramca01,1924,Cal,Abrams
abramge01,1899,George,Abrams
abregjo01,1962,Johnny,Abrego
abreubo01,1974,Bobby,Abreu
abreujo01,1913,Joe,Abreu
abreujo02,1987,Jose,Abreu
abreuju01,1985,Juan,Abreu
abreuto01,1984,Tony,Abreu
abreuwi01,1977,Winston,Abreu
abstebi01,1883,Bill,Abstein
accarje01,1981,Jeremy,Accardo
aceveal01,1982,Alfredo,Aceves
acevejo01,1977,Jose,Acevedo
aceveju01,1970,Juan,Acevedo
achteaj01,1988,A. J.,Achter
ackerji01,1958,Jim,Acker
ackerto01,1930,Tom,Acker
ackledu01,1988,Dustin,Ackley
acklefr01,1937,Fritz,Ackley
acostcy01,1946,Cy,Acosta
acosted01,1944,Ed,Acosta
acostjo01,1891,Jose,Acosta
acostma01,1981,Manny,Acosta
acostme01,1896,Merito,Acosta
acrema01,1968,Mark,Acre
actama99,1969,Manny,Acta
adairbi99,1913,Bill,Adair
adairje01,1936,Jerry,Adair
adairji01,1907,Jimmy,Adair
adamecr01,1991,Cristhian,Adames
adamsac01,1910,Ace,Adams
adamsau01,1986,Austin,Adams
adamsba01,1882,Babe,Adams
adamsbe01,1891,Bert,Adams
adamsbo01,1901,Bob,Adams
adamsbo02,1907,Bob,Adams
adamsbo03,1921,Bobby,Adams
adamsbo04,1952,Bob,Adams
adamsbu01,1915,Buster,Adams
adamsda01,1887,Dan,Adams
adamsda02,1987,David,Adams
adamsdi01,1920,Dick,Adams
adamsdo01,1943,Doug,Adams
adamsge01,1855,George,Adams
adamsgl01,1947,Glenn,Adams
adamshe01,1928,Herb,Adams
adamsji01,1868,Jim,Adams
adamsjo01,1877,Joe,Adams
adamsjo02,1971,Joel,Adamson
adamska01,1891,Karl,Adams
adamsla01,1989,Lane,Adams
adamsma01,1988,Matt,Adams
adamsmi01,1947,Mike,Adamson
adamsmi02,1948,Mike,Adams
adamsmi03,1978,Mike,Adams
adamsre01,1921,Red,Adams
adamsri01,1878,Rick,Adams
adamsri02,1959,Ricky,Adams
adamsru01,1980,Russ,Adams
adamsry01,1987,Ryan,Adams
adamssp01,1894,Sparky,Adams
adamssp02,1898,Spencer,Adams
adamste01,1973,Terry,Adams
adamswi01,1890,Willie,Adams
adamswi02,1972,Willie,Adams
adcocjo01,1927,Joe,Adcock
adcocna01,1988,Nathan,Adcock
addisbo01,1925,Bob,Addis
adducji01,1959,Jim,Adduci
adducji02,1985,Jim,Adduci
addybo01,1842,Bob,Addy
adenhni01,1986,Nick,Adenhart
aderhmo01,1915,Morrie,Aderholt
adkinde01,1918,Dewey,Adkins
adkindi01,1920,Dick,Adkins
adkindo01,1872,Doc,Adkins
adkingr01,1897,Grady,Adkins
adkinhe01,1874,Harry,Atkinson
adkinjo01,1977,Jon,Adkins
adkinst01,1964,Steve,Adkins
adlesda01,1943,Dave,Adlesh
adriaeh01,1989,Ehire,Adrianza
afenitr01,1963,Troy,Afenir
affelje01,1979,Jeremy,Affeldt
agbaybe01,1971,Benny,Agbayani
ageeto01,1942,Tommie,Agee
agganha01,1929,Harry,Agganis
aglerjo01,1887,Joe,Agler
agnewsa01,1887,Sam,Agnew
agostju01,1958,Juan,Agosto
aguaylu01,1959,Luis,Aguayo
aguilch01,1979,Chris,Aguila
aguilje01,1990,Jesus,Aguilar
aguilri01,1961,Rick,Aguilera
aguirha01,1931,Hank,Aguirre
ahearch01,1858,Bill,Ahearn
ahearpa01,1969,Pat,Ahearne
ahmedni01,1990,Nick,Ahmed
aikenwi01,1954,Willie,Aikens
aingeda01,1959,Danny,Ainge
ainsmed01,1890,Eddie,Ainsmith
ainswku01,1978,Kurt,Ainsworth
aitchra01,1887,Raleigh,Aitchison
aitonge01,1890,George,Aiton
akejo01,1861,John,Ake
akerfda01,1962,Darrel,Akerfelds
akerja01,1940,Jack,Aker
akersbi01,1904,Bill,Akers
akersje01,1887,Jerry,Akers
albagi01,1960,Gibson,Alba
albaljo01,1982,Jonathan,Albaladejo
albanjo01,1933,Joe,Albanese
alberan01,1985,Andrew,Albers
alberbu01,1950,Butch,Alberts
albercy01,1882,Cy,Alberts
albergu01,1860,Gus,Alberts
alberha01,1992,Hanser,Alberto
alberjo01,1969,Jose,Alberro
alberma01,1983,Matt,Albers
albosed01,1918,Ed,Albosta
albreed01,1929,Ed,Albrecht
albrija01,1921,Jack,Albright
albural01,1986,Al,Alburquerque
alburvi01,1947,Vic,Albury
alcalsa01,1952,Santo,Alcala
alcanar01,1991,Arismendy,Alcantara
alcanis01,1973,Israel,Alcantara
alcarlu01,1941,Luis,Alcaraz
alcocsc01,1885,Scotty,Alcock
alderda01,1918,Dale,Alderson
aldremi01,1961,Mike,Aldrete
aldresc01,1968,Scott,Aldred
aldrico01,1979,Cory,Aldridge
aldrija01,1961,Jay,Aldrich
aldrivi01,1893,Vic,Aldridge
alenoch01,1917,Chuck,Aleno
alexabo01,1922,Bob,Alexander
alexada01,1903,Dale,Alexander
alexado01,1950,Doyle,Alexander
alexaga01,1953,Gary,Alexander
alexage01,1968,Gerald,Alexander
alexahu01,1917,Hugh,Alexander
alexama01,1947,Matt,Alexander
alexama02,1971,Manny,Alexander
alexani01,1858,Nin,Alexander
alexape01,1887,Pete,Alexander
alexasc01,1989,Scott,Alexander
alexawa01,1891,Walt,Alexander
alfarja01,1977,Jason,Alfaro
alfonan01,1972,Antonio,Alfonseca
alfoned01,1973,Edgardo,Alfonzo
alfonel01,1979,Eliezer,Alfonzo
alicelu01,1965,Luis,Alicea
allanan01,1961,Andy,Allanson
allarbr01,1958,Brian,Allard
allenbe01,1939,Bernie,Allen
allenbo01,1867,Bob,Allen
allenbo02,1894,Bob,Allen
allenbo03,1914,Bob,Allen
allenbo04,1937,Bob,Allen
allenbr01,1986,Brandon,Allen
allench01,1975,Chad,Allen
allenco01,1988,Cody,Allen
allendi01,1942,Dick,Allen
allendu01,1972,Dusty,Allen
allenet01,1904,Ethan,Allen
allenfr01,1888,Frank,Allen
allenga01,1955,Gary,Allenson
allenha01,1846,Ham,Allen
allenha02,1940,Hank,Allen
allenhe01,1863,Hezekiah,Allen
allenho01,1899,Horace,Allen
allenja01,1855,Jack,Allen
allenja02,1958,Jamie,Allen
allenje01,1972,Jermaine,Allensworth
allenjo01,1890,John,Allen
allenjo02,1904,Johnny,Allen
allenki01,1953,Kim,Allen
allenll01,1950,Lloyd,Allen
allenlu01,1978,Luke,Allen
allenmy01,1854,Myron,Allen
allenne01,1958,Neil,Allen
allenni01,1888,Nick,Allen
allenpe01,1868,Pete,Allen
allenro01,1943,Ron,Allen
