year,league_id,team_id,w,name
1990,NL,ATL,65,Atlanta Braves
1990,AL,BAL,76,Baltimore Orioles
1990,AL,BOS,88,Boston Red Sox
1990,AL,CAL,80,California Angels
1990,AL,CHA,94,Chicago White Sox
1990,NL,CHN,77,Chicago Cubs
1990,NL,CIN,91,Cincinnati Reds
1990,AL,CLE,77,Cleveland Indians
1990,AL,DET,79,Detroit Tigers
1990,NL,HOU,75,Houston Astros
1990,AL,KCA,75,Kansas City Royals
1990,NL,LAN,86,Los Angeles Dodgers
1990,AL,MIN,74,Minnesota Twins
1990,AL,ML4,74,Milwaukee Brewers
1990,NL,MON,85,Montreal Expos
1990,AL,NYA,67,New York Yankees
1990,NL,NYN,91,New York Mets
1990,AL,OAK,103,Oakland Athletics
1990,NL,PHI,77,Philadelphia Phillies
1990,NL,PIT,95,Pittsburgh Pirates
1990,NL,SDN,75,San Diego Padres
1990,AL,SEA,77,Seattle Mariners
1990,NL,SFN,85,San Francisco Giants
1990,NL,SLN,70,St. Louis Cardinals
1990,AL,TEX,83,Texas Rangers
1990,AL,TOR,86,Toronto Blue Jays
1991,NL,ATL,94,Atlanta Braves
1991,AL,BAL,67,Baltimore Orioles
1991,AL,BOS,84,Boston Red Sox
1991,AL,CAL,81,California Angels
1991,AL,CHA,87,Chicago White Sox
1991,NL,CHN,77,Chicago Cubs
1991,NL,CIN,74,Cincinnati Reds
1991,AL,CLE,57,Cleveland Indians
1991,AL,DET,84,Detroit Tigers
1991,NL,HOU,65,Houston Astros
1991,AL,KCA,82,Kansas City Royals
1991,NL,LAN,93,Los Angeles Dodgers
1991,AL,MIN,95,Minnesota Twins
1991,AL,ML4,83,Milwaukee Brewers
1991,NL,MON,71,Montreal Expos
1991,AL,NYA,71,New York Yankees
1991,NL,NYN,77,New York Mets
1991,AL,OAK,84,Oakland Athletics
1991,NL,PHI,78,Philadelphia Phillies
1991,NL,PIT,98,Pittsburgh Pirates
1991,NL,SDN,84,San Diego Padres
1991,AL,SEA,83,Seattle Mariners
1991,NL,SFN,75,San Francisco Giants
1991,NL,SLN,84,St. Louis Cardinals
1991,AL,TEX,85,Texas Rangers
1991,AL,TOR,91,Toronto Blue Jays
1992,NL,ATL,98,Atlanta Braves
1992,AL,BAL,89,Baltimore Orioles
1992,AL,BOS,73,Boston Red Sox
1992,AL,CAL,72,California Angels
1992,AL,CHA,86,Chicago White Sox
1992,NL,CHN,78,Chicago Cubs
1992,NL,CIN,90,Cincinnati Reds
1992,AL,CLE,76,Cleveland Indians
1992,AL,DET,75,Detroit Tigers
1992,NL,HOU,81,Houston Astros
1992,AL,KCA,72,Kansas City Royals
1992,NL,LAN,63,Los Angeles Dodgers
1992,AL,MIN,90,Minnesota Twins
1992,AL,ML4,92,Milwaukee Brewers
1992,NL,MON,87,Montreal Expos
